Fide id,Name,Year_of_birth,Gender,Federation,Title,Standard_Rating,Rapid_rating,Blitz_rating
5067359,Savant  Riya,2000,F,IND,WFM,2115,1827,1905
45076294,Kadam Om Manish,2008,M,IND,CM,2114,1499,1771
5007046,Syed Anwar  Shazuli,1978,M,IND,FM,2113,2151,2239
35013220,Jyothsna L,2004,F,IND,WFM,2112,1850,1895
5000181,Muralidharan  M.B.,1957,M,IND,FM,2110,2188,2206
35081098,Jain Kashish Manoj,2005,M,IND,FM,2110,1577,1681
5000343,Awate  Avinash S,1954,M,IND,FM,2109,0,0
5018650,Lakshmi  Sahiti P.,1993,F,IND,WIM,2108,0,0
5002133,Sinha  Arvind Kumar,1954,M,IND,FM,2106,0,0
5014034,Kasturi  M,1987,F,IND,WIM,2106,0,0
5008174,Ramakrishna  J.,1977,M,IND,FM,2105,2130,2114
5000637,Dongre  Ravindra Murlidhar,1963,M,IND,CM,2103,0,0
5012899,Amitpal  Singh,1980,M,IND,CM,2102,2082,2107
5016592,Dutta  Joydeep,1988,M,IND,FM,2101,2288,2264
35031660,Jishitha D,2003,F,IND,WFM,2100,1725,1833
5004284,Singh  Rishpal S,1982,M,IND,FM,2098,0,2117
5009502,Avari  Viraf,1946,M,IND,FM,2097,0,0
5044634,Bharathi  R.,1993,F,IND,WFM,2096,0,2088
5068800,Lasya.g,1997,F,IND,WFM,2095,1963,2000
5000319,Shantharam  K.V.,1957,M,IND,FM,2093,0,0
5011868,Sangeetha  M. R.,1981,F,IND,WFM,2091,0,0
5038650,Gagare  Shalmali,1994,F,IND,WIM,2087,2017,1976
5005116,Haridas  Kesavan,1957,M,IND,CM,2085,2014,1951
5001595,Ravichandran Venkataraman,1965,M,IND,CM,2084,0,0
45030839,Garv Gaur,2007,M,IND,CM,2083,1876,1950
35075497,Nikhil Magizhnan,2006,M,IND,CM,2076,1922,1976
5004373,Ramaswamy  Aarthie,1981,F,IND,WGM,2074,1991,1922
46649484,Karthik Sai Ch,2005,M,IND,CM,2074,1354,2003
5001013,Thipsay  Bagyashree Sathe,1961,F,IND,WIM,2072,2035,2031
5006961,Tiwari  Ashwani,1976,M,IND,FM,2070,2012,2033
45095248,Sahithi Varshini M,2007,F,IND,WFM,2070,1392,1498
5019834,Dave  Dhyani,1991,F,IND,WIM,2065,0,0
5004357,Meera  Sai,1977,F,IND,WIM,2064,2027,1944
5013240,Singh  Arvinder Preet,1981,M,IND,FM,2064,2115,2147
25035347,Lakshmi C,2003,F,IND,WFM,2058,1676,1775
5000386,Hariharan Venkatachalam,1956,M,IND,CM,2057,0,0
5019354,Pon  NKrithika,1992,F,IND,WIM,2052,0,2083
5009197,Gunasekaran  K.,1976,M,IND,FM,2051,2103,2121
5000157,Sahu  Sekhar Chandra,1955,M,IND,IM,2049,2016,2037
25646923,Bhavesh Mahajan,2007,M,IND,CM,2047,1961,2112
35009141,Sanskriti Goyal,2002,F,IND,WFM,2047,1620,1710
5031931,Saranya  J,1995,F,IND,WFM,2045,2052,2115
5011574,Vinoth Kumar  M.,1980,M,IND,FM,2038,1978,2120
25678191,Aaditya Dhingra,2006,M,IND,CM,2038,1674,1789
5003377,Ebenezer  Joseph,1966,M,IND,CM,2036,0,0
46658467,Vishwa Vasnawala,2006,F,IND,WFM,2034,1428,1476
5000807,Gokhale  Raghunandan V,1957,M,IND,CM,2033,2013,1980
5003970,Jain  Naveen,1980,M,IND,CM,2032,1994,2036
5041627,Anusha N L V,1994,F,IND,WFM,2030,1904,1991
25019872,Bommini Mounika Akshaya,2003,F,IND,WFM,2029,1571,1610
5006511,Swati  Mohota,1978,F,IND,WFM,2027,2032,0
5001048,Agrawal  Kiran,1959,F,IND,WFM,2026,0,0
35093290,Pandey Srishti,2001,F,IND,WFM,2026,1962,1816
5001447,Gopal  K.N.,1971,M,IND,CM,2022,2161,2102
5000254,Hegde  Ravi Gopal,1957,M,IND,IM,2018,2077,2043
5014069,Nilavoli  Hariharan,1985,F,IND,WFM,2014,0,0
5012635,Anuprita  Patil,1984,F,IND,WFM,2013,0,2047
5022940,Uthra  P.,1991,F,IND,WFM,2007,0,0
5005949,Bhagwat  Vinod,1976,M,IND,CM,2002,1937,2115
5018218,Jennitha  Anto K.,1987,F,IND,WIM,2001,2031,2010
5056535,Chandreyee  Hajra,1999,F,IND,WIM,2001,1723,1721
5000270,Joshi  S G,1958,M,IND,FM,1998,0,0
35071289,Jain Nityata,2004,F,IND,WFM,1993,1785,1549
5001331,Dhar-Barua  Saheli,1974,F,IND,WIM,1985,1987,0
5044790,Meghna  C H,1999,F,IND,WFM,1985,1717,1733
25011944,Makhija  Aashna,2002,F,IND,WIM,1958,1611,1781
25053256,Bhagyashree Patil,2005,F,IND,WFM,1958,1694,1648
5021391,Patil  Mitali,1991,F,IND,WFM,1952,0,1936
25013769,Bidhar  Rutumbara,2001,F,IND,WFM,1952,1723,1736
35006908,Dhyana Patel,2005,F,IND,WFM,1947,1740,1898
25617125,Chilukuri Sai Varshith,2007,M,IND,FM,1943,1309,1770
5001005,Gokhale  Anupama,1969,F,IND,WIM,1925,1945,0
25077325,Bristy Mukherjee,2004,F,IND,WCM,1924,1599,1661
25004450,Ananya  Suresh,2000,F,IND,WCM,1916,1763,1836
5039444,Kotepalli  Sai Nirupama,1996,F,IND,WFM,1914,0,0
5029430,Venkata  Krishna Karthik K,1986,M,IND,FM,1903,0,0
35028987,Sharang Sanjeev Kapoor,2000,M,IND,CM,1895,0,0
35002767,Mishra Anwesha,2002,F,IND,WFM,1888,1569,1619
5001099,Sweety Patel,1998,F,IND,WCM,1874,0,0
25053094,Potluri Supreetha,2001,F,IND,WFM,1872,1630,1738
5022150,Rajasurya  J.,1989,F,IND,WFM,1865,0,1896
25060856,Arushi Kotwal,2004,F,IND,WCM,1854,1487,1439
25005600,Tanishka Kotia,2003,F,IND,WFM,1849,1608,1411
46672940,Bhagat Kush,2009,M,IND,CM,1848,1342,1458
5058678,Hilmi  Parveen,2000,F,IND,WFM,1809,1733,1788
25080407,Sharma Pankaj,1990,M,IND,CM,1785,1854,1890
25008072,Sankalp Baliarsingh,2001,M,IND,FM,1760,1817,1754
45059900,Greeshma Anand Dhumal,2003,F,IND,WFM,1749,1297,1151
5046556,Aparajita  Gochhikar,1993,F,IND,CM,1739,0,0
25046497,Swera Ana Braganca,2003,F,IND,WCM,1729,1403,1451
35061690,Chinnam Vyshnavi,2005,F,IND,WCM,1721,1457,1417
35096966,Khandelwal Khushi,2002,F,IND,WCM,1713,1575,1550
5006180,Wazeer Ahmad  Khan,1947,M,IND,IM,1686,0,0
5028116,Chaitanya  V.,1993,F,IND,WFM,1668,0,0
46652370,Samarth J Rao,1999,M,IND,CM,1664,1271,1514
46699074,Patel Riddhi R,2007,F,IND,WCM,1620,1377,1296
5096260,Riddhi Zantye,2002,F,IND,WCM,1615,1596,1622
